effect,level,Anger,Calmness,Excitement,Sadness
chorus,1,0.1895424836601307,0.25957049486461253,0.2875816993464052,0.26330532212885155
chorus,2,0.20821661998132587,0.2838468720821662,0.25957049486461253,0.24836601307189543
chorus,3,0.2605042016806723,0.3025210084033613,0.21008403361344538,0.226890756302521
chorus,4,0.32492997198879553,0.3165266106442577,0.15406162464985995,0.20448179271708683
chorus,5,0.3641456582633053,0.3137254901960784,0.11391223155929038,0.20821661998132587
chorus,6,0.40336134453781514,0.2987861811391223,0.08590102707749767,0.2119514472455649
chorus,7,0.4080298786181139,0.30718954248366015,0.09897292250233426,0.1858076563958917
chorus,8,0.3734827264239029,0.32679738562091504,0.13352007469654528,0.16619981325863678
chorus,9,0.3352007469654528,0.3352007469654528,0.16433239962651727,0.16526610644257703
chorus,10,0.3127917833800187,0.34547152194211017,0.19234360410831,0.14939309056956115
delay,1,0.2315592903828198,0.3137254901960784,0.20915032679738563,0.24556489262371614
delay,2,0.24369747899159663,0.2875816993464052,0.20915032679738563,0.25957049486461253
delay,3,0.24556489262371614,0.30905695611577966,0.20261437908496732,0.24276377217553688
delay,4,0.2950513538748833,0.28291316526610644,0.15779645191409897,0.2642390289449113
delay,5,0.28944911297852477,0.3202614379084967,0.16993464052287582,0.2203548085901027
delay,6,0.2969187675070028,0.2903828197945845,0.17273576097105509,0.23996265172735762
delay,7,0.3277310924369748,0.26704014939309056,0.1549953314659197,0.25023342670401494
delay,8,0.3389355742296919,0.28104575163398693,0.1437908496732026,0.23622782446311857
delay,9,0.3258636788048553,0.27824463118580767,0.15592903828197946,0.23996265172735762
delay,10,0.3426704014939309,0.2726423902894491,0.1568627450980392,0.22782446311858076
distortion,1,0.27824463118580767,0.24183006535947713,0.3211951447245565,0.15873015873015872
distortion,2,0.3081232492997199,0.21288515406162464,0.33613445378151263,0.14285714285714285
distortion,3,0.33053221288515405,0.17833800186741364,0.3641456582633053,0.12698412698412698
distortion,4,0.3604108309990663,0.13818860877684408,0.3828197945845005,0.11858076563958916
distortion,5,0.38562091503267976,0.10457516339869281,0.4061624649859944,0.10364145658263306
distortion,6,0.4005602240896359,0.09243697478991597,0.419234360410831,0.08776844070961717
distortion,7,0.4211017740429505,0.06722689075630252,0.4276377217553688,0.08403361344537816
distortion,8,0.4407096171802054,0.05322128851540616,0.42857142857142855,0.07749766573295985
distortion,9,0.44164332399626516,0.04201680672268908,0.4407096171802054,0.07563025210084033
distortion,10,0.47058823529411764,0.036414565826330535,0.42483660130718953,0.06816059757236227
eq,1,0.4584500466853408,0.013071895424836602,0.4752567693744164,0.05322128851540616
eq,2,0.4425770308123249,0.006535947712418301,0.5014005602240896,0.04948646125116713
eq,3,0.4631185807656396,0.003734827264239029,0.48739495798319327,0.0457516339869281
eq,4,0.46405228758169936,0.0018674136321195146,0.49019607843137253,0.04388422035480859
eq,5,0.46218487394957986,0.0028011204481792717,0.49206349206349204,0.04295051353874883
eq,6,0.453781512605042,0.0009337068160597573,0.5060690943043884,0.0392156862745098
eq,7,0.4603174603174603,0.0018674136321195146,0.5014005602240896,0.036414565826330535
eq,8,0.46591970121381887,0.0009337068160597573,0.49673202614379086,0.036414565826330535
eq,9,0.4668534080298786,0.0,0.49673202614379086,0.036414565826330535
eq,10,0.4556489262371615,0.0,0.5098039215686274,0.03454715219421102
phaser,1,0.226890756302521,0.3137254901960784,0.23716153127917833,0.2222222222222222
phaser,2,0.22782446311858076,0.3146591970121382,0.24089635854341737,0.2166199813258637
phaser,3,0.22595704948646125,0.31092436974789917,0.23996265172735762,0.223155929038282
phaser,4,0.2250233426704015,0.3127917833800187,0.24369747899159663,0.2184873949579832
phaser,5,0.22969187675070027,0.32866479925303455,0.24089635854341737,0.20074696545284781
phaser,6,0.22969187675070027,0.3239962651727358,0.24649859943977592,0.19981325863678806
phaser,7,0.23062558356676005,0.3295985060690943,0.25023342670401494,0.1895424836601307
phaser,8,0.2222222222222222,0.33986928104575165,0.2549019607843137,0.1830065359477124
phaser,9,0.23249299719887956,0.34827264239028943,0.24369747899159663,0.17553688141923435
phaser,10,0.21755368814192344,0.33800186741363214,0.2661064425770308,0.17833800186741364
reverb,1,0.3566760037348273,0.20354808590102708,0.19047619047619047,0.24929971988795518
reverb,2,0.3641456582633053,0.19701213818860877,0.19234360410831,0.24649859943977592
reverb,3,0.3772175536881419,0.19514472455648926,0.1895424836601307,0.23809523809523808
reverb,4,0.38468720821662,0.18674136321195145,0.19047619047619047,0.23809523809523808
reverb,5,0.39869281045751637,0.17086834733893558,0.19234360410831,0.23809523809523808
reverb,6,0.40896358543417366,0.16619981325863678,0.19047619047619047,0.23436041083099907
reverb,7,0.41830065359477125,0.15406162464985995,0.19981325863678806,0.22782446311858076
reverb,8,0.4649859943977591,0.13352007469654528,0.1830065359477124,0.2184873949579832
reverb,9,0.480859010270775,0.11204481792717087,0.1942110177404295,0.21288515406162464
reverb,10,0.5228758169934641,0.09337068160597572,0.1876750700280112,0.19607843137254902
