effect,level,Anger,Calmness,Excitement,Sadness
chorus,1,0.12044817927170869,0.5303454715219421,0.13725490196078433,0.2119514472455649
chorus,2,0.12791783380018673,0.5564892623716153,0.1353874883286648,0.18020541549953314
chorus,3,0.15126050420168066,0.5014005602240896,0.14098972922502334,0.20634920634920634
chorus,4,0.14752567693744165,0.5051353874883286,0.16246498599439776,0.18487394957983194
chorus,5,0.13071895424836602,0.5546218487394958,0.11764705882352941,0.19701213818860877
chorus,6,0.14939309056956115,0.5788982259570495,0.08870214752567694,0.1830065359477124
chorus,7,0.15219421101774042,0.5826330532212886,0.07563025210084033,0.1895424836601307
chorus,8,0.13818860877684408,0.5695611577964519,0.08123249299719888,0.21101774042950514
chorus,9,0.15779645191409897,0.5882352941176471,0.058823529411764705,0.19514472455648926
chorus,10,0.1419234360410831,0.5994397759103641,0.08029878618113913,0.17833800186741364
delay,1,0.2530345471521942,0.30158730158730157,0.06816059757236227,0.3772175536881419
delay,2,0.14752567693744165,0.38095238095238093,0.16526610644257703,0.3062558356676004
delay,3,0.19514472455648926,0.3314659197012138,0.1503267973856209,0.323062558356676
delay,4,0.18860877684407096,0.4042950513538749,0.10644257703081232,0.3006535947712418
delay,5,0.18020541549953314,0.33986928104575165,0.16806722689075632,0.3118580765639589
delay,6,0.3034547152194211,0.2913165266106443,0.20915032679738563,0.19607843137254902
delay,7,0.22782446311858076,0.2931839402427638,0.20821661998132587,0.2707749766573296
delay,8,0.15592903828197946,0.3818860877684407,0.1223155929038282,0.33986928104575165
delay,9,0.21568627450980393,0.37815126050420167,0.1419234360410831,0.2642390289449113
delay,10,0.20074696545284781,0.35480859010270777,0.1531279178338002,0.2913165266106443
distortion,1,0.4995331465919701,0.16059757236227826,0.20541549953314658,0.13445378151260504
distortion,2,0.6050420168067226,0.0896358543417367,0.18860877684407096,0.11671335200746966
distortion,3,0.6946778711484594,0.05415499533146592,0.15873015873015872,0.09243697478991597
distortion,4,0.7880485527544351,0.02427637721755369,0.13258636788048553,0.055088702147525676
distortion,5,0.8627450980392157,0.01027077497665733,0.08029878618113913,0.04668534080298786
distortion,6,0.9084967320261438,0.003734827264239029,0.04948646125116713,0.03828197945845005
distortion,7,0.9299719887955182,0.0028011204481792717,0.036414565826330535,0.03081232492997199
distortion,8,0.9533146591970122,0.0009337068160597573,0.02334267040149393,0.022408963585434174
distortion,9,0.9635854341736695,0.0,0.0196078431372549,0.01680672268907563
distortion,10,0.9719887955182073,0.0,0.014939309056956116,0.013071895424836602
eq,1,0.96171802054155,0.0,0.028944911297852476,0.009337068160597572
eq,2,0.9374416433239963,0.0,0.047619047619047616,0.014939309056956116
eq,3,0.9103641456582633,0.0,0.06629318394024276,0.02334267040149393
eq,4,0.8916900093370682,0.0,0.07563025210084033,0.032679738562091505
eq,5,0.8842203548085901,0.0,0.08309990662931839,0.032679738562091505
eq,6,0.8739495798319328,0.0,0.08776844070961717,0.03828197945845005
eq,7,0.8711484593837535,0.0,0.0915032679738562,0.03734827264239029
eq,8,0.876750700280112,0.0,0.08776844070961717,0.035480859010270774
eq,9,0.8786181139122315,0.0009337068160597573,0.0784313725490196,0.04201680672268908
eq,10,0.8627450980392157,0.0,0.09056956115779645,0.04668534080298786
phaser,1,0.20168067226890757,0.38375350140056025,0.21942110177404295,0.19514472455648926
phaser,2,0.21288515406162464,0.40336134453781514,0.1839402427637722,0.19981325863678806
phaser,3,0.19607843137254902,0.41083099906629317,0.20728291316526612,0.1858076563958917
phaser,4,0.2138188608776844,0.4080298786181139,0.1876750700280112,0.19047619047619047
phaser,5,0.18674136321195145,0.4126984126984127,0.20074696545284781,0.19981325863678806
phaser,6,0.19701213818860877,0.43137254901960786,0.19140989729225025,0.18020541549953314
phaser,7,0.19234360410831,0.41363211951447243,0.19514472455648926,0.19887955182072828
phaser,8,0.18487394957983194,0.43790849673202614,0.1895424836601307,0.1876750700280112
phaser,9,0.21568627450980393,0.41456582633053224,0.15406162464985995,0.21568627450980393
phaser,10,0.19234360410831,0.44724556489262374,0.161531279178338,0.19887955182072828
reverb,1,0.24743230625583568,0.18020541549953314,0.3464052287581699,0.22595704948646125
reverb,2,0.2446311858076564,0.17647058823529413,0.35294117647058826,0.22595704948646125
reverb,3,0.2773109243697479,0.16339869281045752,0.34547152194211017,0.2138188608776844
reverb,4,0.30438842203548083,0.1746031746031746,0.32492997198879553,0.19607843137254902
reverb,5,0.3239962651727358,0.1549953314659197,0.3333333333333333,0.1876750700280112
reverb,6,0.3510737628384687,0.13912231559290383,0.33800186741363214,0.17180205415499533
reverb,7,0.39402427637721754,0.12044817927170869,0.32679738562091504,0.15873015873015872
reverb,8,0.43977591036414565,0.10270774976657329,0.3062558356676004,0.15126050420168066
reverb,9,0.49299719887955185,0.08403361344537816,0.3025210084033613,0.12044817927170869
reverb,10,0.5891690009337068,0.04481792717086835,0.26143790849673204,0.10457516339869281
