effect,level,sadness,nostalgia,peacefulness,neutral,tenderness,joyfulActivation,wonder,transcendence,power,tension
chorus,1,0.14042553191489363,0.059574468085106386,0.1574468085106383,0.01702127659574468,0.09361702127659574,0.2127659574468085,0.029787234042553193,0.04680851063829787,0.05106382978723404,0.19574468085106383
chorus,2,0.12340425531914893,0.04680851063829787,0.13191489361702127,0.029787234042553193,0.05531914893617021,0.2127659574468085,0.02553191489361702,0.0425531914893617,0.059574468085106386,0.19574468085106383
chorus,3,0.08936170212765958,0.03829787234042553,0.10638297872340426,0.01702127659574468,0.029787234042553193,0.2170212765957447,0.01276595744680851,0.0425531914893617,0.06382978723404255,0.20425531914893616
chorus,4,0.06808510638297872,0.03404255319148936,0.08936170212765958,0.00425531914893617,0.01702127659574468,0.2425531914893617,0.01276595744680851,0.03829787234042553,0.059574468085106386,0.2170212765957447
chorus,5,0.059574468085106386,0.03404255319148936,0.10638297872340426,0.0,0.01702127659574468,0.2127659574468085,0.01276595744680851,0.03829787234042553,0.07659574468085106,0.2
chorus,6,0.05106382978723404,0.03404255319148936,0.10638297872340426,0.0,0.01276595744680851,0.20851063829787234,0.01702127659574468,0.029787234042553193,0.0425531914893617,0.17872340425531916
chorus,7,0.03404255319148936,0.0425531914893617,0.1276595744680851,0.0,0.00851063829787234,0.2170212765957447,0.01276595744680851,0.02127659574468085,0.04680851063829787,0.2
chorus,8,0.03404255319148936,0.03829787234042553,0.10638297872340426,0.0,0.01702127659574468,0.2297872340425532,0.02553191489361702,0.02553191489361702,0.07659574468085106,0.19148936170212766
chorus,9,0.029787234042553193,0.07659574468085106,0.10638297872340426,0.0,0.00851063829787234,0.24680851063829787,0.0425531914893617,0.01276595744680851,0.07234042553191489,0.2127659574468085
chorus,10,0.029787234042553193,0.06382978723404255,0.09787234042553192,0.0,0.02127659574468085,0.2553191489361702,0.03404255319148936,0.00425531914893617,0.059574468085106386,0.20851063829787234
delay,1,0.19574468085106383,0.06808510638297872,0.20851063829787234,0.029787234042553193,0.08085106382978724,0.09787234042553192,0.02553191489361702,0.02553191489361702,0.06382978723404255,0.19574468085106383
delay,2,0.19574468085106383,0.06382978723404255,0.1829787234042553,0.029787234042553193,0.07659574468085106,0.08085106382978724,0.02127659574468085,0.029787234042553193,0.05531914893617021,0.18723404255319148
delay,3,0.18723404255319148,0.06808510638297872,0.20425531914893616,0.02127659574468085,0.05531914893617021,0.09361702127659574,0.03404255319148936,0.03404255319148936,0.06382978723404255,0.225531914893617
delay,4,0.1702127659574468,0.06808510638297872,0.19574468085106383,0.01702127659574468,0.05531914893617021,0.09787234042553192,0.02553191489361702,0.02127659574468085,0.06382978723404255,0.19574468085106383
delay,5,0.2,0.05531914893617021,0.17872340425531916,0.02127659574468085,0.059574468085106386,0.06808510638297872,0.029787234042553193,0.02127659574468085,0.059574468085106386,0.2
delay,6,0.20425531914893616,0.059574468085106386,0.14042553191489363,0.029787234042553193,0.059574468085106386,0.05531914893617021,0.03404255319148936,0.02127659574468085,0.059574468085106386,0.19148936170212766
delay,7,0.19148936170212766,0.06382978723404255,0.17446808510638298,0.03404255319148936,0.059574468085106386,0.059574468085106386,0.01276595744680851,0.01702127659574468,0.0425531914893617,0.19574468085106383
delay,8,0.16595744680851063,0.06808510638297872,0.1574468085106383,0.02553191489361702,0.05531914893617021,0.05531914893617021,0.02127659574468085,0.01276595744680851,0.0425531914893617,0.19148936170212766
delay,9,0.1702127659574468,0.07234042553191489,0.1148936170212766,0.029787234042553193,0.0425531914893617,0.08936170212765958,0.02127659574468085,0.00425531914893617,0.02127659574468085,0.2
delay,10,0.16595744680851063,0.07659574468085106,0.13617021276595745,0.01702127659574468,0.03829787234042553,0.06808510638297872,0.03404255319148936,0.01276595744680851,0.0425531914893617,0.20425531914893616
distortion,1,0.20851063829787234,0.08085106382978724,0.28085106382978725,0.08085106382978724,0.11063829787234042,0.2,0.06808510638297872,0.06808510638297872,0.12340425531914893,0.19574468085106383
distortion,2,0.2,0.059574468085106386,0.2765957446808511,0.07234042553191489,0.09787234042553192,0.2,0.07234042553191489,0.06808510638297872,0.1148936170212766,0.16595744680851063
distortion,3,0.18723404255319148,0.05106382978723404,0.23829787234042554,0.06382978723404255,0.08936170212765958,0.1829787234042553,0.07234042553191489,0.07234042553191489,0.10212765957446808,0.16170212765957448
distortion,4,0.16170212765957448,0.03829787234042553,0.22127659574468084,0.05106382978723404,0.07234042553191489,0.1829787234042553,0.06382978723404255,0.05106382978723404,0.09361702127659574,0.15319148936170213
distortion,5,0.16170212765957448,0.03404255319148936,0.2,0.05531914893617021,0.059574468085106386,0.1702127659574468,0.059574468085106386,0.05531914893617021,0.08936170212765958,0.14042553191489363
distortion,6,0.15319148936170213,0.01702127659574468,0.1574468085106383,0.05531914893617021,0.03404255319148936,0.1829787234042553,0.04680851063829787,0.06382978723404255,0.07234042553191489,0.13617021276595745
distortion,7,0.14042553191489363,0.01702127659574468,0.14893617021276595,0.03829787234042553,0.02553191489361702,0.1702127659574468,0.0425531914893617,0.0425531914893617,0.059574468085106386,0.1276595744680851
distortion,8,0.13617021276595745,0.00851063829787234,0.11063829787234042,0.029787234042553193,0.01702127659574468,0.16595744680851063,0.03829787234042553,0.029787234042553193,0.05106382978723404,0.11914893617021277
distortion,9,0.1148936170212766,0.00425531914893617,0.0851063829787234,0.02127659574468085,0.01276595744680851,0.14468085106382977,0.02553191489361702,0.03404255319148936,0.04680851063829787,0.09787234042553192
distortion,10,0.0851063829787234,0.00425531914893617,0.06382978723404255,0.00851063829787234,0.01276595744680851,0.12340425531914893,0.02127659574468085,0.0425531914893617,0.03404255319148936,0.10638297872340426
eq,1,0.13191489361702127,0.02127659574468085,0.18723404255319148,0.05106382978723404,0.05106382978723404,0.2170212765957447,0.09361702127659574,0.03404255319148936,0.09361702127659574,0.11914893617021277
eq,2,0.15319148936170213,0.01702127659574468,0.16595744680851063,0.03404255319148936,0.03829787234042553,0.225531914893617,0.07659574468085106,0.02553191489361702,0.08085106382978724,0.10638297872340426
eq,3,0.14042553191489363,0.00851063829787234,0.17446808510638298,0.03404255319148936,0.02553191489361702,0.20425531914893616,0.0851063829787234,0.02127659574468085,0.07234042553191489,0.09787234042553192
eq,4,0.14893617021276595,0.00425531914893617,0.16170212765957448,0.02553191489361702,0.02127659574468085,0.22127659574468084,0.07234042553191489,0.00851063829787234,0.06808510638297872,0.09361702127659574
eq,5,0.14042553191489363,0.0,0.15319148936170213,0.02127659574468085,0.02127659574468085,0.2170212765957447,0.06808510638297872,0.00851063829787234,0.059574468085106386,0.09787234042553192
eq,6,0.1574468085106383,0.0,0.14468085106382977,0.02127659574468085,0.02127659574468085,0.23829787234042554,0.06382978723404255,0.00851063829787234,0.059574468085106386,0.10212765957446808
eq,7,0.14042553191489363,0.0,0.1574468085106383,0.01702127659574468,0.02127659574468085,0.23404255319148937,0.059574468085106386,0.00851063829787234,0.059574468085106386,0.09787234042553192
eq,8,0.14893617021276595,0.0,0.1574468085106383,0.02127659574468085,0.02127659574468085,0.2297872340425532,0.05106382978723404,0.00425531914893617,0.059574468085106386,0.10212765957446808
eq,9,0.15319148936170213,0.0,0.14468085106382977,0.02127659574468085,0.02127659574468085,0.23829787234042554,0.059574468085106386,0.0,0.059574468085106386,0.10638297872340426
eq,10,0.16595744680851063,0.0,0.14042553191489363,0.02553191489361702,0.02127659574468085,0.225531914893617,0.059574468085106386,0.0,0.05106382978723404,0.09787234042553192
phaser,1,0.23404255319148937,0.13191489361702127,0.2851063829787234,0.11063829787234042,0.1574468085106383,0.2170212765957447,0.09361702127659574,0.06808510638297872,0.13191489361702127,0.22127659574468084
phaser,2,0.2127659574468085,0.13191489361702127,0.28936170212765955,0.09787234042553192,0.16170212765957448,0.22127659574468084,0.09787234042553192,0.06808510638297872,0.1276595744680851,0.2127659574468085
phaser,3,0.225531914893617,0.12340425531914893,0.28936170212765955,0.10212765957446808,0.1574468085106383,0.22127659574468084,0.08085106382978724,0.059574468085106386,0.13191489361702127,0.20425531914893616
phaser,4,0.225531914893617,0.11914893617021277,0.28085106382978725,0.11063829787234042,0.14893617021276595,0.20425531914893616,0.08085106382978724,0.059574468085106386,0.13191489361702127,0.2170212765957447
phaser,5,0.23404255319148937,0.09361702127659574,0.28936170212765955,0.09787234042553192,0.15319148936170213,0.20851063829787234,0.08936170212765958,0.059574468085106386,0.1276595744680851,0.22127659574468084
phaser,6,0.19148936170212766,0.09361702127659574,0.28085106382978725,0.06808510638297872,0.1276595744680851,0.2297872340425532,0.04680851063829787,0.05531914893617021,0.10212765957446808,0.22127659574468084
phaser,7,0.20425531914893616,0.08936170212765958,0.2680851063829787,0.07234042553191489,0.10638297872340426,0.2170212765957447,0.05531914893617021,0.0425531914893617,0.11063829787234042,0.2170212765957447
phaser,8,0.17446808510638298,0.07234042553191489,0.2680851063829787,0.0425531914893617,0.10638297872340426,0.20851063829787234,0.04680851063829787,0.05106382978723404,0.10212765957446808,0.2170212765957447
phaser,9,0.1702127659574468,0.05531914893617021,0.28936170212765955,0.0425531914893617,0.11063829787234042,0.23404255319148937,0.03829787234042553,0.03404255319148936,0.11063829787234042,0.22127659574468084
phaser,10,0.1276595744680851,0.05106382978723404,0.26382978723404255,0.03404255319148936,0.09787234042553192,0.2297872340425532,0.04680851063829787,0.02553191489361702,0.1148936170212766,0.20851063829787234
reverb,1,0.2425531914893617,0.059574468085106386,0.2127659574468085,0.01702127659574468,0.05106382978723404,0.05106382978723404,0.01702127659574468,0.04680851063829787,0.04680851063829787,0.1702127659574468
reverb,2,0.2127659574468085,0.059574468085106386,0.20425531914893616,0.01702127659574468,0.05531914893617021,0.0425531914893617,0.01702127659574468,0.04680851063829787,0.04680851063829787,0.16170212765957448
reverb,3,0.2170212765957447,0.05531914893617021,0.19574468085106383,0.01702127659574468,0.059574468085106386,0.03829787234042553,0.02127659574468085,0.03404255319148936,0.0425531914893617,0.1702127659574468
reverb,4,0.2170212765957447,0.05531914893617021,0.18723404255319148,0.01276595744680851,0.05531914893617021,0.03829787234042553,0.02553191489361702,0.0425531914893617,0.0425531914893617,0.16170212765957448
reverb,5,0.2,0.04680851063829787,0.1829787234042553,0.01276595744680851,0.05106382978723404,0.03404255319148936,0.02553191489361702,0.0425531914893617,0.0425531914893617,0.17872340425531916
reverb,6,0.20425531914893616,0.04680851063829787,0.1702127659574468,0.01276595744680851,0.059574468085106386,0.03404255319148936,0.02127659574468085,0.03829787234042553,0.03829787234042553,0.17446808510638298
reverb,7,0.17872340425531916,0.04680851063829787,0.18723404255319148,0.00851063829787234,0.04680851063829787,0.029787234042553193,0.01702127659574468,0.029787234042553193,0.03404255319148936,0.1574468085106383
reverb,8,0.17872340425531916,0.05106382978723404,0.17872340425531916,0.02127659574468085,0.05106382978723404,0.03404255319148936,0.01276595744680851,0.03404255319148936,0.02553191489361702,0.17446808510638298
