effect,level,sadness,nostalgia,peacefulness,neutral,tenderness,joyfulActivation,wonder,transcendence,power,tension
chorus,1,0.1276595744680851,0.02553191489361702,0.30638297872340425,0.03404255319148936,0.059574468085106386,0.11914893617021277,0.00851063829787234,0.00425531914893617,0.02127659574468085,0.10212765957446808
chorus,2,0.13191489361702127,0.01276595744680851,0.2765957446808511,0.02553191489361702,0.07234042553191489,0.11914893617021277,0.00851063829787234,0.01276595744680851,0.0,0.15319148936170213
chorus,3,0.14468085106382977,0.00851063829787234,0.2978723404255319,0.03404255319148936,0.05106382978723404,0.14468085106382977,0.02553191489361702,0.00425531914893617,0.02127659574468085,0.13617021276595745
chorus,4,0.09787234042553192,0.01702127659574468,0.30638297872340425,0.02553191489361702,0.06808510638297872,0.13617021276595745,0.01276595744680851,0.00851063829787234,0.00425531914893617,0.14468085106382977
chorus,5,0.07234042553191489,0.0,0.2851063829787234,0.03829787234042553,0.059574468085106386,0.10212765957446808,0.01702127659574468,0.00851063829787234,0.01702127659574468,0.14042553191489363
chorus,6,0.1148936170212766,0.00425531914893617,0.2425531914893617,0.02127659574468085,0.05531914893617021,0.09787234042553192,0.00851063829787234,0.00851063829787234,0.01276595744680851,0.12340425531914893
chorus,7,0.11063829787234042,0.01276595744680851,0.2425531914893617,0.02553191489361702,0.06808510638297872,0.08085106382978724,0.00425531914893617,0.00425531914893617,0.01702127659574468,0.07659574468085106
chorus,8,0.11914893617021277,0.02127659574468085,0.2297872340425532,0.02553191489361702,0.05531914893617021,0.09787234042553192,0.00851063829787234,0.01276595744680851,0.00851063829787234,0.07659574468085106
chorus,9,0.11914893617021277,0.01276595744680851,0.2,0.03404255319148936,0.05106382978723404,0.11063829787234042,0.01276595744680851,0.01276595744680851,0.01276595744680851,0.06808510638297872
chorus,10,0.12340425531914893,0.00851063829787234,0.22127659574468084,0.02553191489361702,0.05106382978723404,0.0851063829787234,0.00851063829787234,0.00425531914893617,0.00425531914893617,0.059574468085106386
delay,1,0.16170212765957448,0.01276595744680851,0.22127659574468084,0.0425531914893617,0.059574468085106386,0.16595744680851063,0.02553191489361702,0.029787234042553193,0.02553191489361702,0.1148936170212766
delay,2,0.18723404255319148,0.029787234042553193,0.251063829787234,0.03829787234042553,0.059574468085106386,0.12340425531914893,0.029787234042553193,0.01276595744680851,0.02553191489361702,0.10638297872340426
delay,3,0.1702127659574468,0.02553191489361702,0.28936170212765955,0.03829787234042553,0.0425531914893617,0.1276595744680851,0.0425531914893617,0.02553191489361702,0.03829787234042553,0.1574468085106383
delay,4,0.1276595744680851,0.03829787234042553,0.31063829787234043,0.01702127659574468,0.06808510638297872,0.12340425531914893,0.029787234042553193,0.02127659574468085,0.00851063829787234,0.13191489361702127
delay,5,0.16170212765957448,0.01276595744680851,0.2978723404255319,0.029787234042553193,0.08085106382978724,0.11914893617021277,0.02127659574468085,0.02127659574468085,0.03829787234042553,0.16170212765957448
delay,6,0.14893617021276595,0.029787234042553193,0.3148936170212766,0.02127659574468085,0.059574468085106386,0.10212765957446808,0.03404255319148936,0.02127659574468085,0.00851063829787234,0.1276595744680851
delay,7,0.16170212765957448,0.029787234042553193,0.2978723404255319,0.02553191489361702,0.07234042553191489,0.11914893617021277,0.0425531914893617,0.02127659574468085,0.02553191489361702,0.1148936170212766
delay,8,0.17872340425531916,0.029787234042553193,0.28936170212765955,0.029787234042553193,0.059574468085106386,0.11063829787234042,0.05106382978723404,0.01276595744680851,0.02553191489361702,0.14468085106382977
delay,9,0.1829787234042553,0.01276595744680851,0.251063829787234,0.01702127659574468,0.059574468085106386,0.1276595744680851,0.0425531914893617,0.01276595744680851,0.029787234042553193,0.13617021276595745
delay,10,0.2,0.02553191489361702,0.30638297872340425,0.02127659574468085,0.07659574468085106,0.1276595744680851,0.06808510638297872,0.01702127659574468,0.03829787234042553,0.1276595744680851
distortion,1,0.13617021276595745,0.01276595744680851,0.20425531914893616,0.00851063829787234,0.0425531914893617,0.12340425531914893,0.10212765957446808,0.0,0.1574468085106383,0.31063829787234043
distortion,2,0.13191489361702127,0.01702127659574468,0.16170212765957448,0.00851063829787234,0.0425531914893617,0.14468085106382977,0.11063829787234042,0.00425531914893617,0.2553191489361702,0.3446808510638298
distortion,3,0.14893617021276595,0.00851063829787234,0.12340425531914893,0.00425531914893617,0.04680851063829787,0.10212765957446808,0.13617021276595745,0.01276595744680851,0.24680851063829787,0.37872340425531914
distortion,4,0.1276595744680851,0.00425531914893617,0.1276595744680851,0.0,0.03404255319148936,0.06808510638297872,0.14042553191489363,0.00425531914893617,0.33617021276595743,0.37872340425531914
distortion,5,0.16170212765957448,0.00851063829787234,0.1148936170212766,0.00851063829787234,0.01702127659574468,0.059574468085106386,0.13191489361702127,0.00425531914893617,0.3404255319148936,0.4595744680851064
distortion,6,0.13617021276595745,0.00425531914893617,0.06808510638297872,0.00425531914893617,0.03829787234042553,0.03829787234042553,0.11914893617021277,0.0,0.3829787234042553,0.44680851063829785
distortion,7,0.14893617021276595,0.0,0.05531914893617021,0.0,0.029787234042553193,0.04680851063829787,0.13191489361702127,0.00425531914893617,0.42127659574468085,0.46808510638297873
distortion,8,0.1574468085106383,0.00425531914893617,0.05531914893617021,0.0,0.01276595744680851,0.0425531914893617,0.12340425531914893,0.00851063829787234,0.451063829787234,0.4808510638297872
distortion,9,0.14468085106382977,0.00425531914893617,0.06382978723404255,0.00851063829787234,0.00425531914893617,0.029787234042553193,0.13191489361702127,0.0,0.4553191489361702,0.502127659574468
distortion,10,0.16170212765957448,0.0,0.0425531914893617,0.00425531914893617,0.00851063829787234,0.02553191489361702,0.09361702127659574,0.00425531914893617,0.44680851063829785,0.502127659574468
eq,1,0.10638297872340426,0.00851063829787234,0.09787234042553192,0.01702127659574468,0.00851063829787234,0.08085106382978724,0.11914893617021277,0.00851063829787234,0.2425531914893617,0.3276595744680851
eq,2,0.16170212765957448,0.01276595744680851,0.1574468085106383,0.01276595744680851,0.01702127659574468,0.10212765957446808,0.13617021276595745,0.00851063829787234,0.16595744680851063,0.251063829787234
eq,3,0.15319148936170213,0.0,0.14468085106382977,0.00425531914893617,0.00851063829787234,0.1276595744680851,0.09787234042553192,0.01702127659574468,0.1148936170212766,0.2170212765957447
eq,4,0.14893617021276595,0.00425531914893617,0.16595744680851063,0.01702127659574468,0.01276595744680851,0.14042553191489363,0.0851063829787234,0.01276595744680851,0.09361702127659574,0.2
eq,5,0.17872340425531916,0.00851063829787234,0.14893617021276595,0.00425531914893617,0.01276595744680851,0.1148936170212766,0.09361702127659574,0.00851063829787234,0.10638297872340426,0.22127659574468084
eq,6,0.18723404255319148,0.00851063829787234,0.17872340425531916,0.00425531914893617,0.02127659574468085,0.14893617021276595,0.10212765957446808,0.00425531914893617,0.09787234042553192,0.18723404255319148
eq,7,0.1829787234042553,0.00851063829787234,0.15319148936170213,0.00425531914893617,0.01276595744680851,0.1574468085106383,0.10212765957446808,0.01702127659574468,0.09787234042553192,0.19148936170212766
eq,8,0.17872340425531916,0.00425531914893617,0.2,0.00851063829787234,0.02553191489361702,0.18723404255319148,0.10638297872340426,0.01702127659574468,0.09361702127659574,0.1829787234042553
eq,9,0.1829787234042553,0.00425531914893617,0.19148936170212766,0.00425531914893617,0.01276595744680851,0.1702127659574468,0.09361702127659574,0.00425531914893617,0.08936170212765958,0.16170212765957448
eq,10,0.19574468085106383,0.00425531914893617,0.17872340425531916,0.00425531914893617,0.01276595744680851,0.14893617021276595,0.11063829787234042,0.01276595744680851,0.09787234042553192,0.1574468085106383
phaser,1,0.16595744680851063,0.05106382978723404,0.3021276595744681,0.059574468085106386,0.06382978723404255,0.1702127659574468,0.03829787234042553,0.02127659574468085,0.07659574468085106,0.1829787234042553
phaser,2,0.14468085106382977,0.05106382978723404,0.2978723404255319,0.04680851063829787,0.06808510638297872,0.17872340425531916,0.03829787234042553,0.01276595744680851,0.059574468085106386,0.17872340425531916
phaser,3,0.16595744680851063,0.05531914893617021,0.3021276595744681,0.05106382978723404,0.0851063829787234,0.19148936170212766,0.0425531914893617,0.02553191489361702,0.06382978723404255,0.1574468085106383
