effect,scenario,sadness,nostalgia,peacefulness,neutral,tenderness,joyfulActivation,wonder,transcendence,power,tension
scenario,Original,0.23404255319148937,0.13191489361702127,0.3021276595744681,0.1148936170212766,0.16595744680851063,0.225531914893617,0.10638297872340426,0.07659574468085106,0.14042553191489363,0.2297872340425532
scenario,Pink Floyd,0.06382978723404255,0.0,0.02127659574468085,0.0,0.00425531914893617,0.00851063829787234,0.00425531914893617,0.02127659574468085,0.00425531914893617,0.12340425531914893
scenario,Rage Against The Machine,0.02553191489361702,0.0,0.00425531914893617,0.0,0.0,0.06382978723404255,0.00851063829787234,0.0,0.00851063829787234,0.14042553191489363
scenario,U2,0.08936170212765958,0.0,0.01702127659574468,0.0,0.0,0.02127659574468085,0.00425531914893617,0.00851063829787234,0.00425531914893617,0.11914893617021277
