effect,scenario,sadness,nostalgia,peacefulness,neutral,tenderness,joyfulActivation,wonder,transcendence,power,tension
scenario,Original,0.13617021276595745,0.03404255319148936,0.2765957446808511,0.05106382978723404,0.07234042553191489,0.17446808510638298,0.04680851063829787,0.00851063829787234,0.06808510638297872,0.17872340425531916
scenario,Pink Floyd,0.15319148936170213,0.0,0.28085106382978725,0.00425531914893617,0.00851063829787234,0.09787234042553192,0.11063829787234042,0.00425531914893617,0.06382978723404255,0.11063829787234042
scenario,Rage Against The Machine,0.16595744680851063,0.04680851063829787,0.3446808510638298,0.00425531914893617,0.01702127659574468,0.251063829787234,0.06808510638297872,0.02127659574468085,0.00851063829787234,0.029787234042553193
scenario,U2,0.13191489361702127,0.00851063829787234,0.3021276595744681,0.01702127659574468,0.02127659574468085,0.1574468085106383,0.13191489361702127,0.02127659574468085,0.029787234042553193,0.06382978723404255
