effect,scenario,sadness,nostalgia,peacefulness,neutral,tenderness,joyfulActivation,wonder,transcendence,power,tension
scenario,Original,0.22127659574468084,0.13191489361702127,0.2851063829787234,0.1148936170212766,0.1574468085106383,0.20425531914893616,0.1148936170212766,0.07659574468085106,0.14042553191489363,0.2170212765957447
scenario,Pink Floyd,0.03829787234042553,0.0,0.01276595744680851,0.0,0.0,0.0,0.0,0.00425531914893617,0.0,0.11914893617021277
scenario,Rage Against The Machine,0.11063829787234042,0.0,0.059574468085106386,0.0,0.0,0.0,0.00425531914893617,0.0,0.0,0.13191489361702127
scenario,U2,0.059574468085106386,0.0,0.029787234042553193,0.0,0.0,0.0,0.0,0.00425531914893617,0.0,0.14893617021276595
